そら,ソラ
愛,アイ
愛斗,マナト
愛翔,マナト
葵,アオイ
葵生,アオイ
葵斗,アオイト
葵翔,アオイショウ
旭,アサヒ
絢心,アヤココロ
絢斗,ケント
綾,アヤ
綾人,アヤト
綾太,アヤタ
庵,イオリ
伊織,イオリ
伊吹,イブキ
維吹,イブキ
郁哉,イクヤ
郁斗,カオルト
郁也,イクヤ
郁弥,イクミ
一,イチ
一希,ハジメキ
一稀,カズキ
一貴,カズタカ
一輝,カズキ
一慶,ハジメケイ
一護,イチゴ
一樹,カズキ
一心,イッシン
一真,カズマ
一成,カズナリ
一生,イッショウ
一太,イチタ
一斗,イチト
一馬,カズマ
一平,イッペイ
一晟,イッセイ
一翔,カズト
一颯,カズサ
壱成,イッセイ
右京,ウキョウ
羽琉,ハネル
栄太,エイタ
永遠,エイエン
瑛,エイ
瑛音,エイオト
瑛介,エイカイ
瑛士,エイジ
瑛心,エイココロ
瑛人,エイト
瑛仁,エイジン
瑛太,エイタ
瑛太郎,エイタロウ
瑛汰,エイタ
瑛大,エイタ
瑛斗,エイト
瑛翔,エイショウ
英寿,ヒデトシ
英樹,ヒデキ
英太,エイタ
英汰,ヒデタ
温人,ハルト
温大,ハルト
佳吾,ケイワレ
佳樹,ヨシキ
佳大,カマサル
佳佑,カユウ
佳祐,ケイスケ
夏海,ナツミ
夏輝,ナツテル
夏樹,ナツキ
夏生,ナツオ
雅,マサシ
雅貴,マサタカ
雅哉,マサヤ
雅史,マサシ
雅治,マサハル
雅樹,マサキ
雅人,マサト
雅大,マサヒロ
雅斗,マサト
雅也,マサヤ
雅弥,マサヤ
快,カイ
快成,カイシゲル
快斗,カイト
快翔,カイショウ
魁,サキガケ
魁人,サキガケジン
魁斗,カイト
海,ウミ
海音,カイト
海輝,カイキ
海人,ウミヒト
海成,カイセイ
海星,カイセイ
海晴,ミハル
海聖,ウミキヨシ
海大,カイダイ
海斗,カイト
海渡,カイト
海都,ウミミヤコ
海里,ミサト
海翔,カイト
開,カイ
開斗,カイト
凱,カイ
凱斗,カイト
浬,リ
学,ガク
岳,タケ
岳人,タケヒト
楽,ラク
叶空,カノウウツホ
叶真,カノウマコト
叶夢,カノウユメ
叶翔,カノウショウ
寛,ヒロシ
寛人,ヒロト
寛太,カンタ
寛大,カンダイ
幹,ミキ
幹太,カンタ
幹大,モトヒロ
幹也,ミキヤ
貫太,ヌキブト
希,ノゾミ
貴哉,タカヤ
貴史,タカシ
貴大,タカシダイ
貴之,タカユキ
貴也,タカヤ
貴裕,タカヒロ
輝,テル
桔平,キッペイ
京介,キョウスケ
恭介,キョウスケ
恭平,キョウヘイ
恭輔,キョウスケ
恭佑,ヤスシユウ
響,ヒビキ
響介,キョウスケ
響輝,ヒビキ
響己,ヒビキオノレ
響生,ヒビキ
暁,アカツキ
暁斗,アキト
駈,ク
空,カラ
空大,カラダイ
空良,ソラ
空翔,ソラショウ
薫,カオル
啓,ケイ
啓介,ケイスケ
啓吾,ケイゴ
啓悟,ケイサトル
啓人,ヒロト
啓太,ケイタ
